Arsa payı karşılığı inşaat sözleşmelerinde arsa sahibinin temel amacı nedir?,Yüklenici tarafından inşa edilen bağımsız bölümlere bir an önce kavuşmaktır.
"Alacaklının malvarlığının, borç zamanında yerine getirilseydi ulaşacağı durum ile mevcut durumu arasındaki farka ne ad verilir?",Müspet zarar (Olumlu zarar).
Hüküm ifade ettiğine güvenilen bir sözleşmenin geçersizliği nedeniyle uğranılan zarara ne ad verilir?,Menfî zarar.
Ceza koşulu niteliği itibariyle hangi zarar türü içerisinde kabul edilir?,Müspet zarar.
Sözleşmeden dönme durumunda ceza koşulunun istenememesinin temel sebebi nedir?,Dönme ile borç ilişkisinin geçmişe etkili olarak ortadan kalkması.
"Sözleşmenin feshi (ileriye etkili) durumunda, fesih tarihinden önceki borç ihlali için ceza koşulu talep edilebilir mi?","Evet, fesih tarihine kadar tahakkuk eden ceza talep edilebilir."
Yargıtay 1984 İBK uyarınca ileriye etkili sona ermede ceza koşulu hangi ana kadar işleyebilir?,Fesih kararının kesinleşmesine kadar.
Sözleşmeden dönülse dahi ceza koşulunun istenebilmesi hangi şartla mümkündür?,Sözleşmede bu yönde özel bir hüküm (aksine kararlaştırma) bulunmasıyla.
Hangi durumda yüklenicinin gecikmesine rağmen ceza koşulu talep edilemez?,Gecikmenin arsa sahibine isnat edilebilecek haklı ve makul sebeplere dayanması durumunda.
Sözleşmenin feshinde müspet zarar niteliğindeki ceza koşulunun istenemeyeceği yönündeki Yargıtay kararlarına doktrinin temel eleştirisi nedir?,Feshin ileriye etkili olduğu ve feshe kadar doğan hakların korunması gerektiği.
"İfaya eklenen ceza koşulu, seçimlik haklardan hangisiyle birlikte talep edilebilir?",Aynen ifa talebiyle birlikte.
"Ani edimli borç ilişkilerinde edimin yerine getirilmesi ile borcun sona ermesine karşılık, sürekli borç ilişkilerinde durum nasıldır?",Edimin yerine getirilmesiyle sözleşmeye bağlılık hemen sona ermez.
Yargıtay 15. Hukuk Dairesi'ne göre inşaat seviyesi $\%68$ olan bir uyuşmazlıkta ileriye etkili fesih mümkün müdür?,"Hayır, ileriye etkili fesih için bu oran uygun görülmemiştir."
Noter harçları ve damga vergisi gibi giderler hangi zarar kalemi içerisinde yer alır?,Menfi zarar.
Yüklenicinin temerrüdü halinde arsa sahibinin sözleşmeden dönerek talep edebileceği zarar türü hangisidir?,Menfi zarar.
"Yargıtay'ın $\%90$ oranını aramasının yanı sıra, bazen eksik işler için aradığı ek kriter nedir?",Eksik kalan işlerin amaçlanan kullanıma engel oluşturmaması.
Eser sözleşmesinde yüklenicinin ediminden ziyade sonucundan sorumlu olması sözleşmeyi hangi tipe yaklaştırır?,Ani edimli sözleşme.
Sözleşmenin sona ermesi ile birlikte ceza koşulunun talep edilip edilemeyeceği sorunu hangi tür sözleşmelerde önemlidir?,Arsa payı karşılığı inşaat sözleşmeleri.
Götürü tazminat niteliği de taşıyabilen kira tazminatı genellikle ne şekilde kararlaştırılır?,Bağımsız bölüm başına ve aylık bir bedel olarak.
Dönme hakkı yenilik doğuran bir hak olmasına rağmen Yargıtay bu hakkın kullanımında neyi şart koşar?,Mahkeme kararını.
"Sözleşmenin feshi ileriye etkili sonuç doğuruyorsa, fesih bildiriminden sonraki bir olay için ceza istenebilir mi?","Hayır, sadece fesih öncesi ihlaller için istenebilir."
Asıl borcun zamanaşımına uğraması ceza koşulunu nasıl etkiler?,Ceza koşulu da zamanaşımına uğrar.
Kâr kaybı hangi zarar kategorisine girer?,Müspet zarar.
Kaçırılan fırsatlar hangi zarar kategorisine girer?,Menfi zarar.
Yargıtay'ın 1984 tarihli İBK kararı hangi hukuki kavramın doktrin ve uygulamada yorumlanmasına yol açmıştır?,İşin büyük ölçüde tamamlanmış olması.
"Doktrinde Kartal'a göre, arsa paylarının inşaat aşamasına göre peyderpey devredilmesi sözleşmeye hangi niteliği kazandırır?",Sürekli borç ilişkisi niteliği.
Eser sözleşmesinde kanunen düzenlenen bir sona erme biçimi olmayan ve sürekli borç ilişkilerine özgü olan yol hangisidir?,Feshi ihbar.
Ani edimli sözleşmelerde 'dönme' beyanıyla hedeflenen nedir?,Statüko ante (sözleşme öncesi durum) tesisi.
Yargıtay kararlarında dönme ve fesih terimlerinin bazen birbirinin yerine kullanılması neye yol açmaktadır?,Ceza koşulu taleplerinin yanlış değerlendirilmesine.
"Arsa sahibi, yüklenicinin temerrüdü durumunda hangi seçimlik hakka dayanarak menfi zararını isteyebilir?",Sözleşmeden dönme hakkına.
Prof. Dr. Gauch'a göre eser sözleşmesi zaman yönünden nasıl nitelendirilir?,Ani edimli bir sözleşme olarak.
Bir inşaatın $\%91$ oranında tamamlanması durumunda Yargıtay'ın fesihteki tutumu nedir?,Sözleşmenin ileriye etkili feshini uygun bulmaktadır.
Fesih beyanı ile dönme beyanı arasındaki temel fark nedir?,"Fesih ileriye etkili (ex nunc), dönme geriye etkili (ex tunc) sonuç doğurur."
Ceza koşulunun geçersiz olması asıl borcun geçerliliğini etkiler mi?,"Hayır, etkilemez."
İnşaat yasağı veya arsadan tarihi eser çıkması gibi durumlar ceza koşulunu nasıl etkiler?,Gecikme haklı sebebe dayandığı için bu süreler için ceza istenemez.
"Gökhan Dirican'a göre, ifaya eklenen ceza koşulu hangi durumda talep edilemez?",Aynen ifadan vazgeçilmesi durumunda.
Sözleşmenin feshine rağmen kira kaybı talep edilebileceğine dair Yargıtay görüşü hangi şartla mümkündür?,Cezanın kira tazminatı niteliği taşıması ve fesih tarihine kadar olması şartıyla.
